timestamp,solar_power,onshore_wind_power,offshore_wind_power,tidal_power
2019-01-01 00:00:01,0.783,0.19684899,0.19684899,0.07531097
2019-01-01 01:00:01,0.78,0.1718551,0.1718551,0.1661352
2019-01-01 02:00:01,0.773,0.13637673,0.13637673,0.145067
2019-01-01 03:00:01,0.764,0.1314215,0.1314215,0.1099449
2019-01-01 04:00:01,0.746,0.13169319,0.13169319,0.0283231
2019-01-01 05:00:01,0.709,0.14264991,0.14264991,0.03307089
2019-01-01 06:00:01,0.626,0.1098661,0.1098661,0.06054585
2019-01-01 07:00:01,0.425,0.07741282,0.07741282,0.05939593
2019-01-01 08:00:01,0.116,0.06870011,0.06870011,0.05233801
2019-01-01 09:00:01,0.0,0.06935787,0.06935787,0.02239147
2019-01-01 10:00:01,0.0,0.08476,0.08476,0.007955861
2019-01-01 11:00:01,0.0,0.08128843,0.08128843,0.0276844
2019-01-01 12:00:01,0.0,0.0814498,0.0814498,0.09026808
2019-01-01 13:00:01,0.0,0.05888674,0.05888674,0.1697658
2019-01-01 14:00:01,0.0,0.0,0.0,0.1567655
2019-01-01 15:00:01,0.0,0.04720988,0.04720988,0.1063478
2019-01-01 16:00:01,0.0,0.0966409,0.0966409,0.03073636
2019-01-01 17:00:01,0.0,0.1406385,0.1406385,0.04258807
2019-01-01 18:00:01,0.0,0.14877167,0.14877167,0.07685237
2019-01-01 19:00:01,0.174,0.19897843,0.19897843,0.09094191
2019-01-01 20:00:01,0.528,0.23949392,0.23949392,0.1005586
2019-01-01 21:00:01,0.666,0.23790593,0.23790593,0.08038046
2019-01-01 22:00:01,0.727,0.29161882,0.29161882,0.02735958
2019-01-01 23:00:01,0.757,0.22965467,0.22965467,0.01194662
2019-01-02 00:00:02,0.765,0.13598651,0.13598651,0.03940159
2019-01-02 01:00:02,0.772,0.14754408,0.14754408,0.1197075
2019-01-02 02:00:02,0.761,0.22464827,0.22464827,0.2277675
2019-01-02 03:00:02,0.718,0.32974268,0.32974268,0.2341161
2019-01-02 04:00:02,0.661,0.40495806,0.40495806,0.1251116
2019-01-02 05:00:02,0.616,0.42854533,0.42854533,0.04101089
2019-01-02 06:00:02,0.322,0.41710438,0.41710438,0.02354978
2019-01-02 07:00:02,0.219,0.4632718,0.4632718,0.05163565
2019-01-02 08:00:02,0.077,0.53303014,0.53303014,0.06357621
2019-01-02 09:00:02,0.0,0.63097183,0.63097183,0.06782557
2019-01-02 10:00:02,0.0,0.85940592,0.85940592,0.03678247
2019-01-02 11:00:02,0.0,0.93903752,0.93903752,0.01121591
2019-01-02 12:00:02,0.0,0.99067067,0.99067067,0.01541813
2019-01-02 13:00:02,0.0,1.0,1.0,0.02696592
2019-01-02 14:00:02,0.0,1.0,1.0,0.09890885
2019-01-02 15:00:02,0.0,1.0,1.0,0.1573269
2019-01-02 16:00:02,0.0,1.0,1.0,0.1145027
2019-01-02 17:00:02,0.0,1.0,1.0,0.05043758
2019-01-02 18:00:02,0.0,1.0,1.0,0.02375829
2019-01-02 19:00:02,0.133,1.0,1.0,0.04370827
2019-01-02 20:00:02,0.463,1.0,1.0,0.07719823
2019-01-02 21:00:02,0.644,1.0,1.0,0.0808332
2019-01-02 22:00:02,0.714,0.96548755,0.96548755,0.05972429
2019-01-02 23:00:02,0.745,0.66581637,0.66581637,0.02796389
2019-01-03 00:00:03,0.757,0.48057577,0.48057577,0.007946542
2019-01-03 01:00:03,0.753,0.32815287,0.32815287,0.02131982
2019-01-03 02:00:03,0.732,0.17637397,0.17637397,0.06746393
2019-01-03 03:00:03,0.694,0.08699644,0.08699644,0.1816323
2019-01-03 04:00:03,0.563,0.05863113,0.05863113,0.1898845
2019-01-03 05:00:03,0.545,0.06737847,0.06737847,0.126636
2019-01-03 06:00:03,0.489,0.09627795,0.09627795,0.04765057
2019-01-03 07:00:03,0.369,0.13788599,0.13788599,0.02205416
2019-01-03 08:00:03,0.117,0.20481301,0.20481301,0.04113721
2019-01-03 09:00:03,0.0,0.19992193,0.19992193,0.05216135
2019-01-03 10:00:03,0.0,0.25019933,0.25019933,0.04658348
2019-01-03 11:00:03,0.0,0.24147812,0.24147812,0.03136449
2019-01-03 12:00:03,0.0,0.22072741,0.22072741,0.01091863
2019-01-03 13:00:03,0.0,0.19562046,0.19562046,0.007735061
2019-01-03 14:00:03,0.0,0.14154377,0.14154377,0.02555557
2019-01-03 15:00:03,0.0,0.08532842,0.08532842,0.06922217
2019-01-03 16:00:03,0.0,0.05315834,0.05315834,0.1285669
2019-01-03 17:00:03,0.0,0.0,0.0,0.1053973
2019-01-03 18:00:03,0.0,0.0,0.0,0.0472846
2019-01-03 19:00:03,0.167,0.0,0.0,0.01821937
2019-01-03 20:00:03,0.541,0.0,0.0,0.04213049
2019-01-03 21:00:03,0.705,0.0,0.0,0.07632369
2019-01-03 22:00:03,0.765,0.04596722,0.04596722,0.07434405
2019-01-03 23:00:03,0.785,0.05222319,0.05222319,0.06225183
2019-01-04 00:00:04,0.786,0.04687838,0.04687838,0.02919229
2019-01-04 01:00:04,0.78,0.04723575,0.04723575,0.006701667
2019-01-04 02:00:04,0.771,0.05996928,0.05996928,0.0250993
2019-01-04 03:00:04,0.761,0.06590513,0.06590513,0.07925927
2019-01-04 04:00:04,0.746,0.06593424,0.06593424,0.2038887
2019-01-04 05:00:04,0.71,0.074014,0.074014,0.2252382
2019-01-04 06:00:04,0.599,0.06876898,0.06876898,0.1517936
2019-01-04 07:00:04,0.378,0.07498228,0.07498228,0.05273283
2019-01-04 08:00:04,0.117,0.09631932,0.09631932,0.02641502
